376,"EF","MAR","M  G2","517",4,2,,
376,"EF","HNZ","IF G1","PC 2",1,3,,
376,"EF","HNZ","IF G1","PC 2",4,2,,
376,"EF","RTR","GE G2","527",1,3,,
376,"EF","RTR","GE G2","527",4,2,,
377,"EF","HNZ","ER G1","517",3,1,,
377,"EF","HNZ","ER G1","517",5,4,,
377,"EF","LIC","GE G1","527",3,1,,
377,"EF","LIC","GE G1","527",5,4,,
377,"EF","AND","KR G1","525",3,1,,
377,"EF","AND","KR G1","525",5,4,,
378,"EF","JAN","BI G3","538",1,2,,
378,"EF","JAN","BI G3","538",3,5,,
378,"EF","EGL","D  G1","524",1,2,,
378,"EF","EGL","D  G1","524",3,5,,
378,"EF","HRM","F6 G1","511",1,2,,
378,"EF","HRM","F6 G1","523",3,5,,
378,"EF","WES","SP G4","kl SpH",1,2,,
378,"EF","WES","SP G4","kl SpH",3,5,,
379,"EF","SLF","D  G4","516",1,4,,
379,"EF","SLF","D  G4","516",2,2,,
379,"EF","HER","E5 G1","524",1,4,,
379,"EF","HER","E5 G1","524",2,2,,
379,"EF","STA","EK G2","525",1,4,,
379,"EF","STA","EK G2","525",2,2,,
379,"EF","KAT","PL G1","523",1,4,,
379,"EF","KAT","PL G1","523",2,2,,
380,"EF","HRM","BI G2","532",2,3,,
380,"EF","HRM","BI G2","533",5,3,,
380,"EF","MAY","KU G2","Ku 1",2,3,,
380,"EF","MAY","KU G2","Ku 2",5,3,,
380,"EF","SLL","M  G4","515",2,3,,
380,"EF","SLL","M  G4","517",5,3,,
380,"EF","HER","MU G1","Mu 2",2,3,,
380,"EF","HER","MU G1","Mu 2",5,3,,
381,"EF","HLL","BI G1","538",2,5,,
381,"EF","HLL","BI G1","538",5,1,,
381,"EF","JOP","E5 G2","524",2,5,,
381,"EF","JOP","E5 G2","524",5,1,,
381,"EF","SFN","PH G2","Ph 1",2,5,,
381,"EF","SFN","PH G2","Ph 2",5,1,,
381,"EF","SPN","S0 G1","527",2,5,,
381,"EF","SPN","S0 G1","527",5,1,,
383,"Q1","KLF","BI L1","533",1,4,,
